City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,viedma,-40.8135,-62.9967,23.77,18,0,3.47,AR,1699543633
1,port-aux-francais,-49.35,70.2167,6.05,94,100,12.81,TF,1699543186
2,saipan,15.1355,145.701,28.39,78,20,5.14,MP,1699543633
3,waitangi,-43.9535,-176.5597,8.29,74,95,13.14,NZ,1699543187
4,pundong,-7.9522,110.3486,25.54,87,100,0.86,ID,1699543634
5,longquan,24.6719,102.1613,13.68,81,20,1.26,CN,1699543634
6,anadyr,64.75,177.4833,-6.72,79,47,3.0,RU,1699543340
7,west island,-12.1568,96.8225,26.99,83,40,4.12,CC,1699543232
8,edinburgh of the seven seas,-37.0676,-12.3116,13.0,75,18,5.67,SH,1699543194
9,port elizabeth,-33.918,25.5701,20.73,61,0,3.6,ZA,1699543235
10,dunedin,-45.8742,170.5036,4.44,87,6,2.21,NZ,1699542987
11,nova sintra,14.8667,-24.7167,22.53,68,98,6.88,CV,1699543376
12,tiksi,71.6872,128.8694,-18.84,93,100,3.63,RU,1699543222
13,bismarck,46.8083,-100.7837,0.91,80,40,7.72,US,1699543336
14,bredasdorp,-34.5322,20.0403,20.59,50,0,4.96,ZA,1699543173
15,hermanus,-34.4187,19.2345,19.63,64,0,5.78,ZA,1699543300
16,anna regina,7.2644,-58.5077,28.41,80,78,3.37,GY,1699543636
17,xilin hot,43.9667,116.0333,-14.58,85,8,4.67,CN,1699543278
18,pathein,16.7833,94.7333,23.97,83,46,2.85,MM,1699543197
19,aral,40.5156,81.2636,10.19,24,29,2.69,CN,1699543637
20,grytviken,-54.2811,-36.5092,1.55,99,99,2.25,GS,1699543188
21,igurubi,-4.0,33.7,32.47,23,100,4.62,TZ,1699543637
22,pasuquin,18.3328,120.6177,26.97,89,20,1.03,PH,1699543637
23,cabo san lucas,22.8909,-109.9124,27.64,79,20,2.06,MX,1699543638
24,dolores,-36.3132,-57.6792,22.68,22,21,3.18,AR,1699543638
25,wailua homesteads,22.0669,-159.378,25.44,78,0,9.26,US,1699543195
26,yellowknife,62.456,-114.3525,-0.88,97,100,8.23,CA,1699543202
27,namtsy,62.7161,129.6658,-26.13,99,95,0.45,RU,1699543639
28,isafjordur,66.0755,-23.124,4.02,65,75,6.17,IS,1699543211
29,khark,29.2614,50.3306,26.01,65,0,2.06,IR,1699543639
30,kismayo,-0.3582,42.5454,27.31,78,95,3.68,SO,1699543639
31,keningau,5.3378,116.1602,22.95,98,100,0.39,MY,1699543640
32,aspen,39.1911,-106.8175,-0.7,86,75,1.54,US,1699543640
33,lillehammer,61.1146,10.4674,1.85,99,100,1.39,NO,1699543640
34,arzua,42.9333,-8.15,12.92,87,95,3.1,ES,1699543641
35,port mathurin,-19.6833,63.4167,25.05,70,1,7.25,MU,1699543261
36,blackmans bay,-43.0167,147.3167,14.74,93,2,2.47,AU,1699543196
37,copiapo,-27.3667,-70.3333,15.83,52,88,1.58,CL,1699543642
38,longyearbyen,78.2186,15.6401,-3.09,100,100,2.06,SJ,1699543234
39,inhambane,-23.865,35.3833,25.99,61,40,5.66,MZ,1699543269
40,carnarvon,-24.8667,113.6333,20.63,75,67,10.0,AU,1699543410
41,kangding,30.0513,101.9603,7.14,94,100,0.77,CN,1699543642
42,vilyuysk,63.7553,121.6247,-22.53,98,20,2.27,RU,1699543643
43,puerto natales,-51.7236,-72.4875,13.25,35,40,11.32,CL,1699543186
44,afaahiti,-17.75,-149.2833,21.93,85,92,7.08,PF,1699543212
45,kapa'a,22.0752,-159.319,26.18,78,0,9.26,US,1699543643
46,avarua,-21.2078,-159.775,23.03,83,40,6.17,CK,1699543257
47,tamanrasset,22.785,5.5228,27.95,9,0,2.06,DZ,1699543644
48,tazovsky,67.4667,78.7,-3.06,86,100,8.74,RU,1699543196
49,oak hill,37.9723,-81.1487,19.45,73,100,3.93,US,1699543577
50,champerico,14.3,-91.9167,32.3,79,40,1.24,GT,1699543644
